Variable,IDCODE,Congruency,Mode,STIMULI,Correctans,RToriginal,RTcorrected
Label,Participant code,Congruency,"Treble, Bass, Word",Stimuli image,Answer correct or incorrect,Reaction time original (ms),Reaction time corrected for errors and 3SDs (ms)
,4,1,1,Amajordeepskyblue,1.00,1696.00,1696.00
,4,1,1,Ebmajorfirebrick,1.00,2181.00,2181.00
,4,1,1,Gmajorsaddlebrown,1.00,2196.00,2196.00
,4,0,2,BassEbmajorblueviolet,1.00,1860.00,1860.00
,4,0,2,BassFmajorlimegreen,1.00,3739.00,0.00
,4,0,2,BassDmajorsaddlebrown,1.00,958.00,958.00
,4,0,2,BassCmajorroyalblue,2.00,1517.00,0.00
,4,0,2,BassAmajorfirebrick,1.00,1593.00,1593.00
,4,0,2,BassEmajorgold,1.00,1896.00,1896.00
,4,0,2,BassAbmajorred,1.00,2523.00,2523.00
,4,0,2,BassBbmajordeepskyblue,1.00,2957.00,2957.00
,4,0,2,BassGmajorblack,1.00,3525.00,3525.00
,4,1,2,BassDmajorlimegreen,1.00,1244.00,1244.00
,4,1,2,BassFmajorblueviolet,1.00,1324.00,1324.00
,4,1,2,BassEmajorred,1.00,1608.00,1608.00
,4,1,2,BassAmajordeepskyblue,1.00,1641.00,1641.00
,4,1,2,BassEbmajorfirebrick,1.00,1840.00,1840.00
,4,1,2,BassCmajorgold,1.00,2143.00,2143.00
,4,1,2,BassGmajorsaddlebrown,1.00,3620.00,3620.00
,4,1,2,BassAbmajorroyalblue,1.00,2291.00,2291.00
,4,1,2,BassBbmajorblack,2.00,1056.00,0.00
,4,0,3,Bbdeepskyblue,1.00,880.00,880.00
,4,0,3,Abred,1.00,1386.00,1386.00
,4,0,3,Gblack,1.00,1015.00,1015.00
,4,0,3,Flimegreen,1.00,1057.00,1057.00
,4,0,3,Dsaddlebrown,1.00,1095.00,1095.00
,4,0,3,Croyalblue,1.00,1152.00,1152.00
,4,0,3,Egold,1.00,1200.00,1200.00
,4,0,3,Ebblueviolet,1.00,1272.00,1272.00
,4,0,3,Afirebrick,2.00,2406.00,0.00
,4,1,3,Cgold,1.00,931.00,931.00
,4,1,3,Fblueviolet,1.00,1000.00,1000.00
,4,1,3,Dlimegreen,1.00,1014.00,1014.00
