Variable,IDCODE,Mode,STIMULI,RT
Label,Participant code,"Treble, Bass, Word",Stimuli image,Reaction time (ms)
,12,3,EbmajorBW,687.00
,12,3,EmajorBW,526.00
,12,3,EmajorBWcopy,849.00
,12,3,FmajorBW,385.00
,12,3,FmajorBWcopy,642.00
,12,3,GmajorBW,618.00
,12,3,GmajorBWcopy,649.00
,16,3,EmajorBW,548.00
,16,3,FmajorBW,550.00
,16,3,EmajorBWcopy,567.00
,16,3,EbmajorBW,570.00
,16,3,FmajorBWcopy,571.00
,16,3,DmajorBWcopy,576.00
,16,3,AmajorBW,604.00
,16,3,CmajorBW,642.00
,16,3,CmajorBWcopy,649.00
,16,3,BbmajorBW,653.00
,16,3,GmajorBW,661.00
,16,3,BbmajorBWcopy,663.00
,16,3,DmajorBW,664.00
,16,3,EbmajorBWcopy,675.00
,16,3,AbmajorBW,688.00
,16,3,AbmajorBWcopy,698.00
,16,3,AmajorBWcopy,746.00
,16,3,GmajorBWcopy,1405.00
,14,3,AbmajorBWcopy,561.00
,14,3,AbmajorBW,627.00
,14,3,AmajorBWcopy,408.00
,14,3,AmajorBW,616.00
,14,3,BbmajorBWcopy,580.00
,14,3,BbmajorBW,675.00
,14,3,CmajorBW,548.00
,14,3,CmajorBWcopy,606.00
,14,3,DmajorBW,699.00
,14,3,DmajorBWcopy,706.00
,14,3,EbmajorBWcopy,513.00
,14,3,EbmajorBW,568.00
,14,3,EmajorBW,420.00
,14,3,EmajorBWcopy,603.00
,14,3,FmajorBW,535.00
,14,3,FmajorBWcopy,582.00
,14,3,GmajorBW,535.00
,14,3,GmajorBWcopy,663.00
,17,3,GmajorBWcopy,1018.00
,17,3,FmajorBW,665.00
,17,3,CmajorBW,721.00
,17,3,AmajorBWcopy,679.00
,17,3,CmajorBWcopy,717.00
,17,3,BbmajorBW,851.00
,17,3,AmajorBW,919.00
,17,3,AbmajorBW,944.00
,17,3,BbmajorBWcopy,990.00
,17,3,DmajorBWcopy,990.00
,17,3,EbmajorBWcopy,1000.00
,17,3,FmajorBWcopy,1107.00
,17,3,DmajorBW,1197.00
,17,3,EbmajorBW,1203.00
,17,3,EmajorBWcopy,1199.00
,17,3,EmajorBW,2140.00
,15,3,AbmajorBWcopy,734.00
,15,3,AbmajorBW,570.00
,15,3,AmajorBW,675.00
,15,3,AmajorBWcopy,664.00
,15,3,BbmajorBW,769.00
,15,3,BbmajorBWcopy,606.00
,15,3,CmajorBWcopy,779.00
,15,3,CmajorBW,676.00
,15,3,DmajorBWcopy,838.00
,15,3,DmajorBW,629.00
,15,3,EbmajorBW,884.00
,15,3,EbmajorBWcopy,699.00
,15,3,EmajorBWcopy,676.00
,15,3,EmajorBW,653.00
,15,3,FmajorBWcopy,709.00
,15,3,FmajorBW,677.00
,15,3,GmajorBW,652.00
,15,3,GmajorBWcopy,734.00
